News sites,Twitter Handle
https://af.reuters.com/,@ReutersAfrica
https://www.bloomberg.com/africa,@BBGAfrica
https://apnews.com/apf-africa,@AP_Africa
https://www.cnn.com/africa,@CNNAfrica
http://www.aps.dz/en/,@EnglishAps
https://www.bbc.com/news/world/africa,@BBCAfrica
http://www.elmoudjahid.com/en,null
https://algeria-watch.org/?cat=33,null
http://algeriatimes.info/index.php?lang=en,null
https://times-of-algeria.com/,@TimesofAlgeria
http://www.algeriabusinessinfo.com/index.php?lang=en,null
https://www.nation.co.ke/,@dailynation
https://www.standardmedia.co.ke/,@StandardKenya
https://www.theeastafrican.co.ke/,@The_EastAfrican
https://www.kenyanews.go.ke/,@KenyaNewsAgency
https://citizentv.co.ke/,@citizentvkenya
https://www.kbc.co.ke/,@KBCChannel1
https://addisfortune.news/,@addis_fortune
https://www.capitalethiopia.com/,@Capitaleth
https://ethiopiangazette.com/,@EthioGazette
https://www.thereporterethiopia.com/,@TheReporterET
http://www.angop.ao/angola/en_us/,null
https://www.digitalcongo.cd/en/,@Digitalcongo
https://www.graphic.com.gh/,null
https://dailyguidenetwork.com/,@DailyGuideGH
http://theheraldghana.com/,@theheraldghana
http://thedailystatesman.com/,null
https://www.todaygh.com/,@TodayGHA
https://defimedia.info/category/news-sunday,@defimediainfo
http://www.mauritiustimes.com/,@mauritiustimes
https://www.dailytrust.com.ng/,@daily_trust
https://guardian.ng/,@GuardianNigeria
https://thenationonlineng.net/,@TheNationNews
https://tribuneonlineng.com/,@nigeriantribune
https://www.vanguardngr.com/,@vanguardngrnews
https://www.sunnewsonline.com/,@thesunnigeria
https://punchng.com/,@MobilePunch
https://www.dailysun.co.za/,@dailysunsa
https://www.iol.co.za/the-star,@TheStar_news
https://www.timeslive.co.za/sunday-times/,@SundayTimesZA
https://www.africannewsagency.com/,@AfriNewsAgency
https://www.thecitizen.co.tz/,@TheCitizenTZ
https://www.dailynews.co.tz/,@dailynewstz
https://www.ippmedia.com/en/the-guardian,@Nipashetz
https://www.ippmedia.com/en/the-guardian-on-sunday,@Nipashetz
https://www.monitor.co.ug/,@DailyMonitor
https://www.newvision.co.ug/,@newvisionwire
https://ugandaradionetwork.net/a/,@ugandarn
http://www.times.co.zm/,@timesofzambia
https://www.daily-mail.co.zm/,@zadama24
https://www.washingtonpost.com/world/africa/,null
https://www.nytimes.com/section/world/africa,null
https://www.voanews.com/africa,@VOAAfrica
https://africacdc.org/,@AfricaCDC
https://www.afro.who.int/,@WHOAFRO